x,y70,y60,y50,y40,y30,y20,y10
0.5859375,3.25E-06,3.03E-06,2.82E-06,2.58E-06,2.22E-06,1.61E-06,9.56E-07
0.5908203,3.25E-06,3.05E-06,2.84E-06,2.61E-06,2.26E-06,1.66E-06,9.98E-07
0.5957031,3.25E-06,3.06E-06,2.86E-06,2.63E-06,2.29E-06,1.70E-06,1.04E-06
0.6005859,3.24E-06,3.05E-06,2.86E-06,2.65E-06,2.32E-06,1.75E-06,1.08E-06
0.6054688,3.23E-06,3.05E-06,2.87E-06,2.66E-06,2.34E-06,1.78E-06,1.12E-06
0.6103516,3.20E-06,3.03E-06,2.86E-06,2.66E-06,2.35E-06,1.82E-06,1.16E-06
0.6152344,3.16E-06,3.00E-06,2.84E-06,2.65E-06,2.36E-06,1.85E-06,1.19E-06
0.6201172,3.12E-06,2.97E-06,2.82E-06,2.64E-06,2.36E-06,1.87E-06,1.23E-06
0.625,3.08E-06,2.93E-06,2.78E-06,2.61E-06,2.35E-06,1.89E-06,1.26E-06
0.6298828,3.02E-06,2.88E-06,2.74E-06,2.58E-06,2.33E-06,1.90E-06,1.29E-06
0.6347656,2.96E-06,2.82E-06,2.70E-06,2.54E-06,2.31E-06,1.91E-06,1.31E-06
0.6396484,2.88E-06,2.76E-06,2.64E-06,2.50E-06,2.28E-06,1.91E-06,1.34E-06
0.6445313,2.81E-06,2.69E-06,2.58E-06,2.45E-06,2.25E-06,1.91E-06,1.36E-06
0.6494141,2.73E-06,2.62E-06,2.51E-06,2.39E-06,2.21E-06,1.90E-06,1.37E-06
0.6542969,2.64E-06,2.54E-06,2.44E-06,2.33E-06,2.16E-06,1.88E-06,1.39E-06
0.6591797,2.55E-06,2.46E-06,2.37E-06,2.27E-06,2.12E-06,1.87E-06,1.40E-06
0.6640625,2.46E-06,2.38E-06,2.30E-06,2.20E-06,2.07E-06,1.85E-06,1.41E-06
0.6689453,2.37E-06,2.29E-06,2.22E-06,2.13E-06,2.01E-06,1.82E-06,1.41E-06
0.6738281,2.28E-06,2.21E-06,2.14E-06,2.06E-06,1.96E-06,1.80E-06,1.41E-06
0.6787109,2.19E-06,2.12E-06,2.06E-06,1.99E-06,1.90E-06,1.77E-06,1.41E-06
0.6835938,2.09E-06,2.03E-06,1.98E-06,1.92E-06,1.84E-06,1.73E-06,1.40E-06
0.6884766,2.00E-06,1.95E-06,1.90E-06,1.85E-06,1.78E-06,1.69E-06,1.39E-06
0.6933594,1.91E-06,1.86E-06,1.82E-06,1.78E-06,1.72E-06,1.65E-06,1.37E-06
0.6982422,1.82E-06,1.77E-06,1.74E-06,1.70E-06,1.66E-06,1.60E-06,1.35E-06
0.703125,1.72E-06,1.68E-06,1.65E-06,1.62E-06,1.59E-06,1.55E-06,1.32E-06
