E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.4736328,6.08E-07,7.64E-07,8.05E-07,8.33E-07,8.57E-07,8.79E-07
0.4785156,6.08E-07,7.64E-07,8.06E-07,8.34E-07,8.57E-07,8.8E-07
0.4833984,6.09E-07,7.65E-07,8.07E-07,8.34E-07,8.58E-07,8.82E-07
0.4882813,6.11E-07,7.66E-07,8.08E-07,8.35E-07,8.6E-07,8.83E-07
0.4931641,6.13E-07,7.68E-07,8.08E-07,8.37E-07,8.62E-07,8.86E-07
0.4980469,6.16E-07,7.7E-07,8.11E-07,8.4E-07,8.63E-07,8.88E-07
0.5029297,6.2E-07,7.72E-07,8.13E-07,8.42E-07,8.66E-07,8.91E-07
0.5078125,6.23E-07,7.75E-07,8.16E-07,8.45E-07,8.7E-07,8.95E-07
0.5126953,6.28E-07,7.79E-07,8.19E-07,8.49E-07,8.74E-07,9E-07
0.5175781,6.32E-07,7.83E-07,8.23E-07,8.54E-07,8.78E-07,9.06E-07
0.5224609,6.38E-07,7.88E-07,8.28E-07,8.6E-07,8.85E-07,9.13E-07
0.5273438,6.45E-07,7.94E-07,8.34E-07,8.66E-07,8.91E-07,9.21E-07
0.5322266,6.52E-07,8.01E-07,8.41E-07,8.74E-07,9E-07,9.31E-07
0.5371094,6.59E-07,8.09E-07,8.5E-07,8.83E-07,9.1E-07,9.42E-07
0.5419922,6.68E-07,8.18E-07,8.6E-07,8.94E-07,9.23E-07,9.55E-07
0.546875,6.77E-07,8.28E-07,8.71E-07,9.06E-07,9.36E-07,9.7E-07
0.5517578,6.87E-07,8.4E-07,8.84E-07,9.21E-07,9.51E-07,9.87E-07
0.5566406,6.98E-07,8.52E-07,8.98E-07,9.37E-07,9.69E-07,1.01E-06
0.5615234,7.1E-07,8.67E-07,9.15E-07,9.54E-07,9.89E-07,1.03E-06
0.5664063,7.24E-07,8.83E-07,9.33E-07,9.75E-07,1.01E-06,1.05E-06
0.5712891,7.39E-07,9.02E-07,9.54E-07,9.97E-07,1.03E-06,1.08E-06
0.5761719,7.56E-07,9.22E-07,9.78E-07,1.02E-06,1.06E-06,1.11E-06
0.5810547,7.73E-07,9.45E-07,1E-06,1.05E-06,1.09E-06,1.14E-06
0.5859375,7.92E-07,9.7E-07,1.03E-06,1.08E-06,1.13E-06,1.18E-06
0.5908203,8.13E-07,9.97E-07,1.06E-06,1.12E-06,1.16E-06,1.22E-06
0.5957031,8.35E-07,1.03E-06,1.09E-06,1.15E-06,1.2E-06,1.26E-06
0.6005859,8.59E-07,1.06E-06,1.13E-06,1.2E-06,1.25E-06,1.31E-06
0.6054688,8.85E-07,1.09E-06,1.17E-06,1.24E-06,1.29E-06,1.36E-06
0.6103516,9.14E-07,1.13E-06,1.21E-06,1.29E-06,1.35E-06,1.42E-06
0.6152344,9.44E-07,1.17E-06,1.26E-06,1.34E-06,1.4E-06,1.48E-06
0.6201172,9.76E-07,1.22E-06,1.31E-06,1.39E-06,1.46E-06,1.54E-06
0.625,1.01E-06,1.26E-06,1.36E-06,1.45E-06,1.52E-06,1.6E-06
0.6298828,1.05E-06,1.31E-06,1.42E-06,1.51E-06,1.58E-06,1.67E-06
0.6347656,1.09E-06,1.36E-06,1.47E-06,1.57E-06,1.65E-06,1.74E-06
0.6396484,1.13E-06,1.42E-06,1.54E-06,1.64E-06,1.72E-06,1.82E-06
0.6445313,1.17E-06,1.48E-06,1.6E-06,1.71E-06,1.8E-06,1.9E-06
0.6494141,1.22E-06,1.54E-06,1.67E-06,1.78E-06,1.87E-06,1.98E-06
0.6542969,1.27E-06,1.6E-06,1.74E-06,1.86E-06,1.95E-06,2.06E-06
0.6591797,1.32E-06,1.67E-06,1.81E-06,1.94E-06,2.03E-06,2.15E-06
0.6640625,1.37E-06,1.74E-06,1.89E-06,2.02E-06,2.12E-06,2.23E-06
0.6689453,1.43E-06,1.81E-06,1.96E-06,2.1E-06,2.2E-06,2.32E-06
0.6738281,1.49E-06,1.88E-06,2.04E-06,2.18E-06,2.29E-06,2.41E-06
0.6787109,1.56E-06,1.96E-06,2.13E-06,2.27E-06,2.38E-06,2.51E-06
0.6835938,1.62E-06,2.04E-06,2.21E-06,2.36E-06,2.47E-06,2.6E-06
0.6884766,1.69E-06,2.12E-06,2.3E-06,2.45E-06,2.57E-06,2.7E-06
0.6933594,1.77E-06,2.21E-06,2.39E-06,2.54E-06,2.66E-06,2.79E-06
0.6982422,1.84E-06,2.29E-06,2.48E-06,2.64E-06,2.76E-06,2.89E-06
0.703125,1.92E-06,2.38E-06,2.57E-06,2.73E-06,2.85E-06,2.99E-06
0.7080078,2.01E-06,2.47E-06,2.67E-06,2.83E-06,2.95E-06,3.09E-06
0.7128906,2.09E-06,2.56E-06,2.76E-06,2.93E-06,3.05E-06,3.19E-06
0.7177734,2.18E-06,2.66E-06,2.86E-06,3.02E-06,3.15E-06,3.28E-06
0.7226563,2.27E-06,2.76E-06,2.96E-06,3.12E-06,3.25E-06,3.38E-06
0.7275391,2.37E-06,2.85E-06,3.06E-06,3.22E-06,3.35E-06,3.48E-06
0.7324219,2.47E-06,2.95E-06,3.15E-06,3.32E-06,3.44E-06,3.57E-06
0.7373047,2.57E-06,3.05E-06,3.25E-06,3.41E-06,3.54E-06,3.66E-06
0.7421875,2.67E-06,3.15E-06,3.35E-06,3.51E-06,3.63E-06,3.75E-06
0.7470703,2.77E-06,3.25E-06,3.44E-06,3.6E-06,3.72E-06,3.83E-06
0.7519531,2.88E-06,3.34E-06,3.54E-06,3.69E-06,3.8E-06,3.91E-06
0.7568359,2.99E-06,3.44E-06,3.63E-06,3.78E-06,3.88E-06,3.99E-06
0.7617188,3.1E-06,3.53E-06,3.71E-06,3.86E-06,3.96E-06,4.06E-06
0.7666016,3.21E-06,3.62E-06,3.8E-06,3.93E-06,4.03E-06,4.12E-06
0.7714844,3.32E-06,3.7E-06,3.88E-06,4E-06,4.1E-06,4.17E-06
0.7763672,3.43E-06,3.78E-06,3.95E-06,4.07E-06,4.15E-06,4.22E-06
0.78125,3.53E-06,3.86E-06,4.01E-06,4.12E-06,4.2E-06,4.26E-06
0.7861328,3.63E-06,3.93E-06,4.07E-06,4.17E-06,4.24E-06,4.29E-06
0.7910156,3.73E-06,3.98E-06,4.12E-06,4.21E-06,4.27E-06,4.31E-06
0.7958984,3.82E-06,4.04E-06,4.16E-06,4.24E-06,4.29E-06,4.32E-06
0.8007813,3.9E-06,4.08E-06,4.19E-06,4.26E-06,4.3E-06,4.33E-06
0.8056641,3.98E-06,4.11E-06,4.21E-06,4.27E-06,4.3E-06,4.32E-06
0.8105469,4.05E-06,4.14E-06,4.23E-06,4.28E-06,4.3E-06,4.3E-06
0.8154297,4.12E-06,4.16E-06,4.23E-06,4.27E-06,4.28E-06,4.28E-06
0.8203125,4.17E-06,4.17E-06,4.23E-06,4.26E-06,4.26E-06,4.25E-06
0.8251953,4.22E-06,4.17E-06,4.22E-06,4.23E-06,4.23E-06,4.21E-06
0.8300781,4.26E-06,4.17E-06,4.2E-06,4.21E-06,4.19E-06,4.16E-06
0.8349609,4.29E-06,4.16E-06,4.18E-06,4.17E-06,4.15E-06,4.11E-06
0.8398438,4.31E-06,4.14E-06,4.15E-06,4.13E-06,4.1E-06,4.06E-06
0.8447266,4.32E-06,4.12E-06,4.11E-06,4.08E-06,4.05E-06,4.01E-06
0.8496094,4.33E-06,4.09E-06,4.08E-06,4.04E-06,4E-06,3.95E-06
0.8544922,4.33E-06,4.06E-06,4.03E-06,3.98E-06,3.94E-06,3.89E-06
0.859375,4.32E-06,4.03E-06,3.99E-06,3.93E-06,3.88E-06,3.82E-06
0.8642578,4.31E-06,3.99E-06,3.94E-06,3.87E-06,3.82E-06,3.76E-06
0.8691406,4.29E-06,3.95E-06,3.89E-06,3.82E-06,3.76E-06,3.7E-06
0.8740234,4.27E-06,3.91E-06,3.84E-06,3.76E-06,3.7E-06,3.63E-06
0.8789063,4.24E-06,3.86E-06,3.78E-06,3.7E-06,3.63E-06,3.57E-06
0.8837891,4.22E-06,3.82E-06,3.73E-06,3.64E-06,3.58E-06,3.51E-06
0.8886719,4.18E-06,3.78E-06,3.68E-06,3.59E-06,3.52E-06,3.46E-06
0.8935547,4.15E-06,3.73E-06,3.63E-06,3.54E-06,3.46E-06,3.4E-06
0.8984375,4.11E-06,3.69E-06,3.58E-06,3.48E-06,3.41E-06,3.35E-06
0.9033203,4.08E-06,3.64E-06,3.53E-06,3.43E-06,3.36E-06,3.3E-06
0.9082031,4.04E-06,3.6E-06,3.48E-06,3.39E-06,3.32E-06,3.26E-06
0.9130859,4E-06,3.56E-06,3.44E-06,3.34E-06,3.27E-06,3.22E-06
0.9179688,3.97E-06,3.53E-06,3.4E-06,3.3E-06,3.23E-06,3.18E-06
0.9228516,3.93E-06,3.49E-06,3.36E-06,3.26E-06,3.2E-06,3.15E-06
0.9277344,3.9E-06,3.46E-06,3.33E-06,3.23E-06,3.16E-06,3.12E-06
0.9326172,3.86E-06,3.42E-06,3.29E-06,3.2E-06,3.13E-06,3.09E-06
