E (V),Av. I2 0uL,Av. I2 10uL,Av. I2 20uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.3125,1.57E-07,5.2E-07,5.71E-07,7.24E-07,8.37E-07,8.0368045E-07,8.689881E-07,9.349059E-07
0.3173828,1.59E-07,5.23E-07,5.76E-07,7.4E-07,8.6E-07,8.2382205E-07,8.924866E-07,9.6221945E-07
0.3222656,1.63E-07,5.28E-07,5.83E-07,7.57E-07,8.82E-07,8.444214E-07,9.1751115E-07,9.912111E-07
0.3271484,1.66E-07,5.33E-07,5.88E-07,7.73E-07,9.06E-07,8.671568E-07,9.434511E-07,1.0218813E-06
0.3320313,1.7E-07,5.37E-07,5.94E-07,7.91E-07,9.31E-07,8.9050285E-07,9.706116E-07,1.0520936E-06
0.3369141,1.74E-07,5.43E-07,6.01E-07,8.1E-07,9.57E-07,9.1445935E-07,9.985353E-07,1.0850525E-06
0.3417969,1.78E-07,5.48E-07,6.07E-07,8.29E-07,9.85E-07,9.391785E-07,1.02813725E-06,1.1180116E-06
0.3466797,1.82E-07,5.53E-07,6.14E-07,8.5E-07,1.01E-06,9.6527095E-07,1.05743395E-06,1.152344E-06
0.3515625,1.85E-07,5.58E-07,6.2E-07,8.69E-07,1.04E-06,9.9090565E-07,1.0873413E-06,1.1866759E-06
0.3564453,1.9E-07,5.62E-07,6.26E-07,8.91E-07,1.07E-06,1.01669295E-06,1.1183166E-06,1.22222885E-06
0.3613281,1.94E-07,5.68E-07,6.31E-07,9.12E-07,1.1E-06,1.0429382E-06,1.1486814E-06,1.2568664E-06
0.3662109,1.97E-07,5.73E-07,6.37E-07,9.34E-07,1.13E-06,1.06918325E-06,1.1795042E-06,1.2918093E-06
0.3710938,2.03E-07,5.77E-07,6.4E-07,9.56E-07,1.16E-06,1.09542825E-06,1.2097167E-06,1.3278198E-06
0.3759766,2.07E-07,5.81E-07,6.44E-07,9.79E-07,1.19E-06,1.12060545E-06,1.24069205E-06,1.363373E-06
0.3808594,2.11E-07,5.85E-07,6.47E-07,1E-06,1.22E-06,1.1450197E-06,1.26998885E-06,1.3970945E-06
0.3857422,2.16E-07,5.88E-07,6.5E-07,1.02E-06,1.25E-06,1.17019675E-06,1.29898095E-06,1.431427E-06
0.390625,2.21E-07,5.91E-07,6.52E-07,1.05E-06,1.28E-06,1.19522085E-06,1.32797225E-06,1.4637755E-06
0.3955078,2.26E-07,5.94E-07,6.54E-07,1.07E-06,1.31E-06,1.2176512E-06,1.355896E-06,1.49704E-06
0.4003906,2.32E-07,5.96E-07,6.54E-07,1.09E-06,1.34E-06,1.2408449E-06,1.383667E-06,1.529846E-06
0.4052734,2.38E-07,5.99E-07,6.54E-07,1.11E-06,1.38E-06,1.2638857E-06,1.4108275E-06,1.560669E-06
0.4101563,2.44E-07,6.02E-07,6.53E-07,1.14E-06,1.41E-06,1.2864683E-06,1.4376835E-06,1.5922545E-06
0.4150391,2.49E-07,6.02E-07,6.56E-07,1.16E-06,1.44E-06,1.30966185E-06,1.4649965E-06,1.6256715E-06
0.4199219,2.57E-07,6.05E-07,6.57E-07,1.18E-06,1.47E-06,1.3327029E-06,1.4938355E-06,1.657867E-06
0.4248047,2.63E-07,6.07E-07,6.6E-07,1.21E-06,1.5E-06,1.35711655E-06,1.5232845E-06,1.693878E-06
0.4296875,2.72E-07,6.11E-07,6.63E-07,1.23E-06,1.53E-06,1.3845825E-06,1.5556335E-06,1.7303465E-06
0.4345703,2.79E-07,6.15E-07,6.67E-07,1.25E-06,1.57E-06,1.413574E-06,1.589203E-06,1.770172E-06
0.4394531,2.88E-07,6.19E-07,6.73E-07,1.28E-06,1.6E-06,1.4459225E-06,1.6273495E-06,1.813507E-06
0.4443359,2.96E-07,6.23E-07,6.82E-07,1.3E-06,1.64E-06,1.4813235E-06,1.67038E-06,1.8618775E-06
0.4492188,3.04E-07,6.29E-07,6.9E-07,1.33E-06,1.68E-06,1.5211485E-06,1.7158505E-06,1.9148255E-06
0.4541016,3.07E-07,6.36E-07,7.01E-07,1.36E-06,1.72E-06,1.5678405E-06,1.768341E-06,1.9743345E-06
0.4589844,3.17E-07,6.44E-07,7.14E-07,1.4E-06,1.77E-06,1.618805E-06,1.827545E-06,2.0402525E-06
0.4638672,3.27E-07,6.54E-07,7.26E-07,1.43E-06,1.83E-06,1.677246E-06,1.8930055E-06,2.11319E-06
0.46875,3.38E-07,6.64E-07,7.42E-07,1.48E-06,1.88E-06,1.7416385E-06,1.9659425E-06,2.193451E-06
0.4736328,3.46E-07,6.76E-07,7.61E-07,1.53E-06,1.95E-06,1.813812E-06,2.0462035E-06,2.280884E-06
0.4785156,3.58E-07,6.91E-07,7.83E-07,1.58E-06,2.02E-06,1.8922425E-06,2.1322635E-06,2.3750305E-06
0.4833984,3.71E-07,7.07E-07,8.07E-07,1.64E-06,2.09E-06,1.977081E-06,2.2253415E-06,2.4746705E-06
0.4882813,3.83E-07,7.26E-07,8.33E-07,1.7E-06,2.18E-06,2.0658875E-06,2.321472E-06,2.5790405E-06
0.4931641,3.95E-07,7.47E-07,8.64E-07,1.77E-06,2.26E-06,2.158661E-06,2.4217225E-06,2.684479E-06
0.4980469,4.09E-07,7.7E-07,8.98E-07,1.85E-06,2.35E-06,2.254028E-06,2.5216675E-06,2.7915955E-06
0.5029297,4.23E-07,7.95E-07,9.36E-07,1.92E-06,2.43E-06,2.3478695E-06,2.62146E-06,2.8959655E-06
0.5078125,4.37E-07,8.22E-07,9.77E-07,1.99E-06,2.52E-06,2.4412535E-06,2.7194215E-06,2.997589E-06
0.5126953,4.52E-07,8.53E-07,1.02E-06,2.07E-06,2.6E-06,2.5323485E-06,2.814178E-06,3.0944825E-06
0.5175781,4.69E-07,8.86E-07,1.07E-06,2.15E-06,2.68E-06,2.6213075E-06,2.9039005E-06,3.186493E-06
0.5224609,4.87E-07,9.23E-07,1.12E-06,2.22E-06,2.76E-06,2.7079775E-06,2.9919435E-06,3.273926E-06
0.5273438,5.05E-07,9.62E-07,1.18E-06,2.3E-06,2.84E-06,2.793274E-06,3.0760195E-06,3.3575435E-06
0.5322266,5.25E-07,1E-06,1.24E-06,2.37E-06,2.91E-06,2.8782655E-06,3.1578065E-06,3.438263E-06
0.5371094,5.44E-07,1.05E-06,1.31E-06,2.45E-06,2.98E-06,2.9614255E-06,3.239899E-06,3.5169985E-06
0.5419922,5.65E-07,1.1E-06,1.38E-06,2.53E-06,3.05E-06,3.0439755E-06,3.3187865E-06,3.5928345E-06
0.546875,5.86E-07,1.16E-06,1.45E-06,2.6E-06,3.12E-06,3.1259155E-06,3.397827E-06,3.6665345E-06
0.5517578,6.07E-07,1.21E-06,1.53E-06,2.68E-06,3.2E-06,3.2077025E-06,3.473663E-06,3.738861E-06
0.5566406,6.29E-07,1.28E-06,1.61E-06,2.76E-06,3.27E-06,3.288269E-06,3.548737E-06,3.807526E-06
0.5615234,6.52E-07,1.34E-06,1.7E-06,2.85E-06,3.35E-06,3.366547E-06,3.6218265E-06,3.871765E-06
0.5664063,6.77E-07,1.41E-06,1.79E-06,2.93E-06,3.42E-06,3.4429935E-06,3.691559E-06,3.9352415E-06
0.5712891,7.03E-07,1.48E-06,1.88E-06,3.01E-06,3.5E-06,3.5188295E-06,3.7597655E-06,3.995514E-06
0.5761719,7.3E-07,1.56E-06,1.98E-06,3.1E-06,3.58E-06,3.590698E-06,3.8237E-06,4.052887E-06
0.5810547,7.59E-07,1.63E-06,2.08E-06,3.19E-06,3.66E-06,3.6586E-06,3.883362E-06,4.1033935E-06
0.5859375,7.88E-07,1.71E-06,2.17E-06,3.27E-06,3.74E-06,3.721771E-06,3.937988E-06,4.152222E-06
0.5908203,8.2E-07,1.79E-06,2.27E-06,3.35E-06,3.81E-06,3.7789915E-06,3.9874265E-06,4.191742E-06
0.5957031,8.52E-07,1.88E-06,2.37E-06,3.43E-06,3.88E-06,3.830719E-06,4.0296935E-06,4.2260745E-06
0.6005859,8.87E-07,1.96E-06,2.46E-06,3.5E-06,3.94E-06,3.874512E-06,4.064484E-06,4.252014E-06
0.6054688,9.19E-07,2.05E-06,2.56E-06,3.57E-06,3.99E-06,3.9128115E-06,4.093323E-06,4.2723085E-06
0.6103516,9.56E-07,2.13E-06,2.65E-06,3.63E-06,4.04E-06,3.944855E-06,4.116516E-06,4.287262E-06
0.6152344,9.95E-07,2.22E-06,2.74E-06,3.69E-06,4.08E-06,3.970489E-06,4.132843E-06,4.2941285E-06
0.6201172,1.04E-06,2.31E-06,2.83E-06,3.74E-06,4.11E-06,3.9897155E-06,4.142303E-06,4.296417E-06
0.625,1.08E-06,2.39E-06,2.91E-06,3.78E-06,4.13E-06,4.00177E-06,4.146118E-06,4.291992E-06
0.6298828,1.12E-06,2.48E-06,2.99E-06,3.81E-06,4.14E-06,4.0083315E-06,4.144745E-06,4.2836E-06
0.6347656,1.17E-06,2.56E-06,3.06E-06,3.83E-06,4.14E-06,4.0086365E-06,4.136505E-06,4.2689515E-06
0.6396484,1.22E-06,2.64E-06,3.14E-06,3.84E-06,4.13E-06,4.004517E-06,4.123993E-06,4.246826E-06
0.6445313,1.27E-06,2.72E-06,3.21E-06,3.85E-06,4.12E-06,3.9961245E-06,4.108429E-06,4.224701E-06
0.6494141,1.32E-06,2.8E-06,3.27E-06,3.86E-06,4.1E-06,3.985901E-06,4.0896605E-06,4.19693E-06
0.6542969,1.38E-06,2.88E-06,3.34E-06,3.86E-06,4.08E-06,3.973236E-06,4.0696715E-06,4.169769E-06
0.6591797,1.44E-06,2.96E-06,3.4E-06,3.85E-06,4.05E-06,3.959351E-06,4.0478515E-06,4.141998E-06
0.6640625,1.5E-06,3.04E-06,3.46E-06,3.85E-06,4.03E-06,3.945923E-06,4.027405E-06,4.11438E-06
0.6689453,1.57E-06,3.11E-06,3.52E-06,3.85E-06,4.01E-06,3.934326E-06,4.007721E-06,4.0888975E-06
0.6738281,1.65E-06,3.19E-06,3.57E-06,3.85E-06,3.99E-06,3.92395E-06,3.9910885E-06,4.063873E-06
0.6787109,1.72E-06,3.26E-06,3.62E-06,3.85E-06,3.97E-06,3.917694E-06,3.976746E-06,4.044495E-06
0.6835938,1.81E-06,3.33E-06,3.68E-06,3.86E-06,3.96E-06,3.9154055E-06,3.968506E-06,4.029236E-06
0.6884766,1.9E-06,3.4E-06,3.73E-06,3.87E-06,3.96E-06,3.917389E-06,3.9645385E-06,4.0196225E-06
0.6933594,2E-06,3.47E-06,3.78E-06,3.89E-06,3.96E-06,3.9234925E-06,3.9631655E-06,4.0122985E-06
0.6982422,2.11E-06,3.54E-06,3.82E-06,3.92E-06,3.97E-06,3.9328E-06,3.967438E-06,4.011078E-06
0.703125,2.23E-06,3.61E-06,3.87E-06,3.94E-06,3.99E-06,3.944397E-06,3.973236E-06,4.0112305E-06
0.7080078,2.36E-06,3.67E-06,3.91E-06,3.97E-06,4.01E-06,3.958435E-06,3.9826965E-06,4.0151975E-06
0.7128906,2.5E-06,3.73E-06,3.95E-06,4.01E-06,4.03E-06,3.9735415E-06,3.991394E-06,4.01886E-06
