E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.8935547,3.49E-06,3.06E-06,3.02E-06,2.82E-06,2.66E-06,2.55E-06
0.8984375,3.47E-06,3.03E-06,2.99E-06,2.79E-06,2.64E-06,2.53E-06
0.9033203,3.45E-06,3.01E-06,2.96E-06,2.76E-06,2.61E-06,2.51E-06
0.9082031,3.43E-06,2.98E-06,2.93E-06,2.73E-06,2.59E-06,2.49E-06
0.9130859,3.41E-06,2.96E-06,2.91E-06,2.71E-06,2.57E-06,2.47E-06
0.9179688,3.39E-06,2.94E-06,2.88E-06,2.69E-06,2.55E-06,2.46E-06
0.9228516,3.37E-06,2.92E-06,2.86E-06,2.67E-06,2.54E-06,2.45E-06
0.9277344,3.35E-06,2.9E-06,2.84E-06,2.65E-06,2.53E-06,2.45E-06
0.9326172,3.33E-06,2.88E-06,2.82E-06,2.64E-06,2.51E-06,2.44E-06
0.9375,3.31E-06,2.86E-06,2.8E-06,2.62E-06,2.51E-06,2.44E-06
0.9423828,3.29E-06,2.84E-06,2.78E-06,2.61E-06,2.5E-06,2.44E-06
0.9472656,3.27E-06,2.83E-06,2.77E-06,2.6E-06,2.5E-06,2.45E-06
0.9521484,3.25E-06,2.82E-06,2.76E-06,2.6E-06,2.5E-06,2.46E-06
0.9570313,3.24E-06,2.81E-06,2.75E-06,2.59E-06,2.51E-06,2.47E-06
0.9619141,3.22E-06,2.8E-06,2.74E-06,2.59E-06,2.51E-06,2.48E-06
0.9667969,3.21E-06,2.79E-06,2.73E-06,2.59E-06,2.52E-06,2.5E-06
0.9716797,3.19E-06,2.79E-06,2.73E-06,2.6E-06,2.53E-06,2.52E-06
0.9765625,3.18E-06,2.79E-06,2.73E-06,2.6E-06,2.55E-06,2.54E-06
0.9814453,3.17E-06,2.79E-06,2.73E-06,2.61E-06,2.56E-06,2.57E-06
0.9863281,3.16E-06,2.79E-06,2.73E-06,2.62E-06,2.58E-06,2.6E-06
0.9912109,3.15E-06,2.79E-06,2.74E-06,2.63E-06,2.61E-06,2.63E-06
