E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
1.240234,4.75E-06,5.7E-06,6.19E-06,6.68E-06,7.18E-06,7.52E-06
1.245117,4.84E-06,5.82E-06,6.31E-06,6.79E-06,7.27E-06,7.59E-06
1.25,4.93E-06,5.93E-06,6.43E-06,6.89E-06,7.36E-06,7.65E-06
1.254883,5.02E-06,6.05E-06,6.54E-06,6.99E-06,7.43E-06,7.71E-06
1.259766,5.12E-06,6.16E-06,6.65E-06,7.09E-06,7.5E-06,7.76E-06
1.264648,5.22E-06,6.27E-06,6.75E-06,7.17E-06,7.57E-06,7.82E-06
1.269531,5.32E-06,6.38E-06,6.85E-06,7.26E-06,7.63E-06,7.87E-06
1.274414,5.42E-06,6.48E-06,6.94E-06,7.34E-06,7.7E-06,7.93E-06
1.279297,5.53E-06,6.59E-06,7.04E-06,7.42E-06,7.76E-06,8E-06
1.28418,5.63E-06,6.69E-06,7.13E-06,7.5E-06,7.84E-06,8.07E-06
1.289063,5.75E-06,6.79E-06,7.23E-06,7.58E-06,7.92E-06,8.17E-06
1.293945,5.86E-06,6.9E-06,7.33E-06,7.68E-06,8.02E-06,8.28E-06
1.298828,5.97E-06,7.01E-06,7.44E-06,7.78E-06,8.13E-06,8.41E-06
